"Type","Team","Group","Position","Name","DOB","Caps","Goals","Country and Club"
"Age","Panama","G","DF","Román Torres","1986-03-20","109","10","United States Seattle Sounders FC"
"Age","Panama","G","FW","Abdiel Arroyo","1993-12-13","33","5","Costa Rica Alajuelense"
"Age","Panama","G","FW","Blas Pérez","1981-03-13","116","43","Guatemala Municipal"
"Age","Panama","G","FW","Gabriel Torres","1988-10-31","71","14","Chile Huachipato"
"Age","Panama","G","FW","Ismael Díaz","1997-05-12","10","2","Spain Deportivo Fabril"
"Age","Panama","G","FW","Luis Tejada","1982-03-28","104","43","Peru Sport Boys"
"Age","Panama","G","GK","Álex Rodríguez","1990-08-05","6","0","Panama San Francisco"
"Age","Panama","G","GK","Jaime Penedo","1981-09-26","130","0","Romania Dinamo București"
"Age","Panama","G","GK","José Calderón","1985-08-14","30","0","Panama Chorrillo"
"Age","Panama","G","MF","Alberto Quintero","1987-12-18","89","5","Peru Universitario"
"Age","Panama","G","MF","Aníbal Godoy","1990-02-10","87","2","United States San Jose Earthquakes"
"Age","Panama","G","MF","Armando Cooper","1987-11-26","96","7","Chile Universidad de Chile"
"Age","Panama","G","MF","Édgar Bárcenas","1993-10-23","27","0","Mexico Tapachula"
"Age","Panama","G","MF","Gabriel Gómez","1984-05-29","142","12","Colombia Atlético Bucaramanga"
"Age","Panama","G","MF","José Luis Rodríguez","1998-06-19","0","0","Belgium Gent"
"Age","Panama","G","MF","Valentín Pimentel","1991-05-30","21","1","Panama Plaza Amador"
"Age","Tunisia","G","DF","Ali Maâloul","1990-01-01","43","0","Egypt Al Ahly"
"Age","Tunisia","G","DF","Dylan Bronn","1995-06-19","3","0","Belgium Gent"
"Age","Tunisia","G","DF","Hamdi Nagguez","1992-10-28","13","0","Egypt Zamalek"
"Age","Tunisia","G","DF","Oussama Haddadi","1992-01-28","6","0","France Dijon"
"Age","Tunisia","G","DF","Rami Bedoui","1990-01-19","8","0","Tunisia Étoile du Sahel"
"Age","Tunisia","G","DF","Syam Ben Youssef","1989-03-31","40","1","Turkey Kasımpaşa"
"Age","Tunisia","G","DF","Yassine Meriah","1993-07-02","13","1","Tunisia CS Sfaxien"
"Age","Tunisia","G","DF","Yohan Benalouane","1987-03-28","2","0","England Leicester City"
"Age","Tunisia","G","FW","Anice Badri","1990-08-18","4","0","Tunisia Espérance"
"Age","Tunisia","G","FW","Bassem Srarfi","1997-06-25","2","0","France Nice"
"Age","Tunisia","G","FW","Fakhreddine Ben Youssef","1991-06-21","31","4","Saudi Arabia Al-Ettifaq"
"Age","Tunisia","G","FW","Saber Khalifa","1986-10-14","41","7","Tunisia Club Africain"
"Age","Tunisia","G","FW","Wahbi Khazri","1991-02-08","35","12","France Rennes"
"Age","Tunisia","G","GK","Aymen Mathlouthi (captain)","1984-09-14","69","0","Saudi Arabia Al-Batin"
"Age","Tunisia","G","GK","Farouk Ben Mustapha","1989-07-01","15","0","Saudi Arabia Al-Shabab"
"Age","Tunisia","G","GK","Mouez Hassen","1995-03-05","1","0","France Châteauroux"
"Age","Tunisia","G","MF","Ahmed Khalil","1994-12-21","3","0","Tunisia Club Africain"
"Age","Tunisia","G","MF","Ellyes Skhiri","1995-05-10","2","0","France Montpellier"
"Age","Tunisia","G","MF","Ferjani Sassi","1992-03-18","36","2","Saudi Arabia Al-Nassr"
"Age","Tunisia","G","MF","Ghailene Chaalali","1994-02-28","4","1","Tunisia Espérance"
"Age","Tunisia","G","MF","Mohamed Amine Ben Amor","1992-01-01","24","1","Saudi Arabia Al-Ahli"
"Age","Tunisia","G","MF","Naïm Sliti","1992-07-27","14","3","France Dijon"
"Age","Tunisia","G","MF","Saîf-Eddine Khaoui","1995-04-27","2","0","France Troyes"
"Age","Colombia","H","DF","Cristián Zapata","1986-09-30","55","2","Italy Milan"
"Age","Colombia","H","DF","Dávinson Sánchez","1996-05-12","8","0","England Tottenham Hotspur"
"Age","Colombia","H","DF","Frank Fabra","1991-02-22","18","1","Argentina Boca Juniors"
"Age","Colombia","H","DF","Johan Mojica","1991-08-21","3","1","Spain Girona"
"Age","Colombia","H","DF","Óscar Murillo","1988-04-18","12","0","Mexico Pachuca"
"Age","Colombia","H","DF","Santiago Arias","1992-01-13","40","0","Netherlands PSV Eindhoven"
"Age","Colombia","H","DF","Yerry Mina","1994-09-23","11","3","Spain Barcelona"
"Age","Colombia","H","FW","Carlos Bacca","1986-09-08","44","14","Spain Villarreal"
"Age","Colombia","H","FW","Luis Muriel","1991-04-16","18","2","Spain Sevilla"
"Age","Colombia","H","FW","Miguel Borja","1993-01-26","6","2","Brazil Palmeiras"
"Age","Colombia","H","FW","Radamel Falcao (captain)","1986-02-10","72","29","France Monaco"
"Age","Colombia","H","GK","Camilo Vargas","1989-03-09","5","0","Colombia Deportivo Cali"
"Age","Colombia","H","GK","David Ospina","1988-08-31","85","0","England Arsenal"
"Age","Colombia","H","GK","José Fernando Cuadrado","1985-06-01","1","0","Colombia Once Caldas"
"Age","Colombia","H","MF","Abel Aguilar","1985-01-06","70","7","Colombia Deportivo Cali"
"Age","Colombia","H","MF","Carlos Sánchez","1986-02-06","84","0","Spain Espanyol"
"Age","Colombia","H","MF","James Rodríguez","1991-07-12","62","21","Germany Bayern Munich"
"Age","Colombia","H","MF","Jefferson Lerma","1994-10-25","4","0","Spain Levante"
"Age","Colombia","H","MF","José Izquierdo","1992-07-07","4","1","England Brighton & Hove Albion"
"Age","Colombia","H","MF","Juan Cuadrado","1988-05-26","69","7","Italy Juventus"
"Age","Colombia","H","MF","Juan Fernando Quintero","1993-01-18","14","2","Argentina River Plate"
"Age","Colombia","H","MF","Mateus Uribe","1991-03-21","7","0","Mexico América"
"Age","Colombia","H","MF","Wílmar Barrios","1993-10-16","10","0","Argentina Boca Juniors"
"Age","Japan","H","DF","Gen Shoji","1992-12-11","10","1","Japan Kashima Antlers"
"Age","Japan","H","DF","Gōtoku Sakai","1991-03-14","38","0","Germany Hamburger SV"
"Age","Japan","H","DF","Hiroki Sakai","1990-04-12","41","0","France Marseille"
"Age","Japan","H","DF","Maya Yoshida","1988-08-24","80","10","England Southampton"
"Age","Japan","H","DF","Naomichi Ueda","1994-10-24","3","0","Japan Kashima Antlers"
"Age","Japan","H","DF","Tomoaki Makino","1987-05-11","30","4","Japan Urawa Red Diamonds"
"Age","Japan","H","DF","Wataru Endo","1993-02-09","11","0","Japan Urawa Red Diamonds"
"Age","Japan","H","DF","Yuto Nagatomo","1986-09-12","103","3","Turkey Galatasaray"
"Age","Japan","H","FW","Shinji Okazaki","1986-04-16","111","50","England Leicester City"
"Age","Japan","H","FW","Yoshinori Mutō","1992-07-15","21","2","Germany Mainz 05"
"Age","Japan","H","FW","Yuya Osako","1990-05-18","26","7","Germany 1. FC Köln"
"Age","Japan","H","GK","Eiji Kawashima","1983-03-20","82","0","France Metz"
"Age","Japan","H","GK","Kosuke Nakamura","1995-02-27","3","0","Japan Kashiwa Reysol"
"Age","Japan","H","GK","Masaaki Higashiguchi","1986-05-12","4","0","Japan Gamba Osaka"
"Age","Japan","H","MF","Gaku Shibasaki","1992-05-28","15","3","Spain Getafe"
"Age","Japan","H","MF","Genki Haraguchi","1991-05-09","30","6","Germany Fortuna Düsseldorf"
"Age","Japan","H","MF","Hotaru Yamaguchi","1990-10-06","40","2","Japan Cerezo Osaka"
"Age","Japan","H","MF","Keisuke Honda","1986-06-13","93","36","Mexico Pachuca"
"Age","Japan","H","MF","Makoto Hasebe (captain)","1984-01-18","108","2","Germany Eintracht Frankfurt"
"Age","Japan","H","MF","Ryota Oshima","1993-01-23","3","0","Japan Kawasaki Frontale"
"Age","Japan","H","MF","Shinji Kagawa","1989-03-17","89","29","Germany Borussia Dortmund"
"Age","Japan","H","MF","Takashi Inui","1988-06-02","25","2","Spain Eibar"
"Age","Japan","H","MF","Takashi Usami","1992-05-06","21","3","Germany Fortuna Düsseldorf"
"Age","Poland","H","DF","Artur Jędrzejczyk","1987-11-04","35","3","Poland Legia Warsaw"
"Age","Poland","H","DF","Bartosz Bereszyński","1992-07-12","6","0","Italy Sampdoria"
"Age","Poland","H","DF","Jan Bednarek","1996-04-12","1","0","England Southampton"
"Age","Poland","H","DF","Kamil Glik","1988-02-03","57","4","France Monaco"
"Age","Poland","H","DF","Łukasz Piszczek","1985-06-03","61","3","Germany Borussia Dortmund"
"Age","Poland","H","DF","Michał Pazdan","1987-09-21","31","0","Poland Legia Warsaw"
"Age","Poland","H","DF","Thiago Cionek","1986-04-21","17","0","Italy SPAL"
"Age","Poland","H","FW","Arkadiusz Milik","1994-02-28","38","12","Italy Napoli"
"Age","Poland","H","FW","Dawid Kownacki","1997-03-14","1","0","Italy Sampdoria"
"Age","Poland","H","FW","Łukasz Teodorczyk","1991-06-03","15","4","Belgium Anderlecht"
"Age","Poland","H","FW","Robert Lewandowski (captain)","1988-08-21","93","52","Germany Bayern Munich"
"Age","Poland","H","GK","Bartosz Białkowski","1994-10-01","1","0","England Ipswich Town"
"Age","Poland","H","GK","Łukasz Fabiański","1993-07-29","43","0","Wales Swansea City"
"Age","Poland","H","GK","Wojciech Szczęsny","1984-01-01","33","0","Italy Juventus"
"Age","Poland","H","MF","Grzegorz Krychowiak","1990-01-29","49","2","England West Bromwich Albion"
"Age","Poland","H","MF","Jacek Góralski","1992-09-21","3","0","Bulgaria Ludogorets Razgrad"
"Age","Poland","H","MF","Jakub Błaszczykowski","1985-12-14","97","19","Germany VfL Wolfsburg"
"Age","Poland","H","MF","Kamil Grosicki","1988-06-08","56","12","England Hull City"
"Age","Poland","H","MF","Karol Linetty","1995-02-02","19","1","Italy Sampdoria"
"Age","Poland","H","MF","Maciej Rybus","1989-08-19","49","2","Russia Lokomotiv Moscow"
"Age","Poland","H","MF","Piotr Zieliński","1994-05-20","31","4","Italy Napoli"
"Age","Poland","H","MF","Rafał Kurzawa","1993-01-29","3","0","Poland Górnik Zabrze"
"Age","Poland","H","MF","Sławomir Peszko","1985-02-19","43","2","Poland Lechia Gdańsk"
"Age","Senegal","H","DF","Kalidou Koulibaly","1991-06-20","23","0","Italy Napoli"
"Age","Senegal","H","DF","Kara Mbodji","1989-11-11","51","5","Belgium Anderlecht"
"Age","Senegal","H","DF","Lamine Gassama","1989-10-20","34","0","Turkey Alanyaspor"
"Age","Senegal","H","DF","Moussa Wagué","1998-10-04","8","0","Belgium Eupen"
"Age","Senegal","H","DF","Salif Sané","1990-08-25","19","0","Germany Hannover 96"
"Age","Senegal","H","DF","Saliou Ciss","1989-09-15","17","0","France Valenciennes"
"Age","Senegal","H","DF","Youssouf Sabaly","1993-03-05","3","0","France Bordeaux"
"Age","Senegal","H","FW","Diafra Sakho","1989-12-24","9","3","France Rennes"
"Age","Senegal","H","FW","Ismaïla Sarr","1998-02-25","13","2","France Rennes"
"Age","Senegal","H","FW","Keita Baldé","1995-03-08","16","3","France Monaco"
"Age","Senegal","H","FW","Mame Biram Diouf","1987-12-16","46","10","England Stoke City"
"Age","Senegal","H","FW","M'Baye Niang","1994-12-19","4","0","Italy Torino"
"Age","Senegal","H","FW","Moussa Konaté","1993-04-03","26","9","France Amiens"
"Age","Senegal","H","FW","Moussa Sow","1986-01-19","50","18","Turkey Bursaspor"
"Age","Senegal","H","FW","Sadio Mané","1992-04-10","51","14","England Liverpool"
"Age","Senegal","H","GK","Abdoulaye Diallo","1992-03-30","16","0","France Rennes"
"Age","Senegal","H","GK","Alfred Gomis","1984-05-31","1","0","Italy SPAL"
"Age","Senegal","H","GK","Khadim N'Diaye","1985-04-05","25","0","Guinea Horoya"
"Age","Senegal","H","MF","Alfred N'Diaye","1990-03-06","18","0","England Wolverhampton Wanderers"
"Age","Senegal","H","MF","Badou Ndiaye","1990-10-27","17","1","England Stoke City"
"Age","Senegal","H","MF","Cheikh N'Doye","1986-03-29","23","3","England Birmingham City"
"Age","Senegal","H","MF","Cheikhou Kouyaté (captain)","1989-12-21","46","2","England West Ham United"
"Age","Senegal","H","MF","Idrissa Gueye","1989-09-26","58","1","England Everton"


